Rank,Team,#,+,ROUGE1,ROUGE2,ROUGEL,BERTScore,FKGL,DCRS,CLI,LENS,AlignS,SummaC
36,NoblesseUranium,1,×,39.16,10.34,35.87,84.65,14.21,10.44,15.45,51.99,75.74,67.32
37,roon,2,×,44.16,11.24,41.44,84.74,11.78,8.86,12.38,71.26,52.73,50.5
38,jimmyapples,2,×,43.36,10.84,40.35,84.82,11.44,9.03,12.1,71.48,56.54,49.0
39,Shivam,2,×,33.85,8.91,30.76,83.56,12.9,11.89,15.14,15.66,91.64,80.94
40,HGP_NLP,2,×,29.69,8.6,26.95,83.74,11.2,9.91,12.79,44.22,79.45,74.11
41,Cornell-BioLay,1,×,39.5,7.92,35.99,84.5,10.97,9.56,12.66,72.53,60.1,51.76
42,xpc,2,×,44.59,11.8,40.36,84.84,13.45,10.33,15.72,67.72,56.87,48.78
43,Hemlo,1,×,30.04,6.88,27.86,81.1,16.49,7.58,15.74,21.91,89.5,74.41
44,anjaneya,2,×,28.87,8.26,26.0,83.66,13.7,11.45,15.46,37.03,74.71,78.66
45,Runtime_Terror,1,×,40.18,10.14,37.44,83.69,13.98,8.41,13.13,49.6,47.51,50.37
46,Abhi_Sidd,1,×,35.33,9.15,31.79,83.09,17.29,12.42,14.47,17.41,79.09,62.95
47,cbdch,1,×,36.69,9.29,32.98,85.09,14.43,11.18,15.82,74.13,63.34,44.61
48,aLoneLM,1,×,35.67,6.74,33.29,82.33,11.07,8.52,11.04,42.82,48.93,52.62
49,hohoho,2,×,33.46,5.48,31.32,81.93,11.21,8.8,12.04,53.01,44.68,50.98
50,huizige,1,×,37.16,8.82,33.59,83.06,15.4,11.39,16.78,47.53,60.13,49.36
51,SSS,1,×,25.64,6.21,23.18,82.81,13.71,12.45,16.61,43.82,72.72,61.55
52,H2P,1,×,25.93,4.03,23.73,81.7,16.53,11.94,18.98,56.77,56.03,47.04
53,KnowLab,1,✓,32.16,7.34,28.31,80.63,36.29,11.55,11.28,1.32,42.41,54.74
